State,Latitude,Longitude,State_code,Confirmed,Recovered,Deaths,Active,Migrated_Other,Delta_Confirmed,Delta_Recovered,Delta_Deaths
Total,21.7679,78.8718,TT,34285612,33661339,458470,152606,13197,0,0,0
Andaman and Nicobar Islands,11.66702557,92.73598262,AN,7651,7518,129,4,0,0,0,0
Andhra Pradesh,14.7504291,78.57002559,AP,2066450,2047722,14373,4355,0,0,0,0
Arunachal Pradesh,27.10039878,93.61660071,AR,55155,54774,280,101,0,0,0,0
Assam,26.7499809,94.21666744,AS,610645,600974,5997,2327,1347,0,0,0
Bihar,25.78541445,87.4799727,BR,726098,716390,9661,46,1,0,0,0
Chandigarh,30.71999697,76.78000565,CH,65351,64495,820,36,0,0,0,0
Chhattisgarh,22.09042035,82.15998734,CT,1006052,992159,13577,316,0,0,0,0
Dadra and Nagar Haveli and Daman and Diu,20.26657819,73.0166178,DN,10681,10644,4,2,31,0,0,0
Delhi,28.6699929,77.23000403,DL,1439870,1414431,25091,348,0,0,0,0
Goa,15.491997,73.81800065,GA,178108,174392,3364,352,0,0,0,0
Gujarat,22.2587,71.1924,GJ,826577,816283,10089,205,0,0,0,0
Haryana,28.45000633,77.01999101,HR,771252,761068,10049,135,0,0,0,0
Himachal Pradesh,31.10002545,77.16659704,HP,224106,218410,3738,1942,16,0,0,0
Jammu and Kashmir,34.29995933,74.46665849,JK,332249,326915,4432,902,0,0,0,0
Jharkhand,23.80039349,86.41998572,JH,348764,343518,5138,108,0,0,0,0
Karnataka,12.57038129,76.91999711,KA,2988333,2941578,38082,8644,29,0,0,0
Kerala,8.900372741,76.56999263,KL,4968657,4857181,31681,79266,529,0,0,0
Ladakh,34.209515,77.615112,LA,20962,20687,208,67,0,0,0,0
Lakshadweep,10.56257331,72.63686717,LD,10365,10270,51,0,44,0,0,0
Madhya Pradesh,21.30039105,76.13001949,MP,792854,782215,10524,115,0,0,0,0
Maharashtra,19.25023195,73.16017493,MH,6611078,6450585,140216,16658,3619,0,0,0
Manipur,24.79997072,93.95001705,MN,123731,121102,1921,708,0,0,0,0
Meghalaya,25.57049217,91.8800142,ML,83627,81746,1450,431,0,0,0,0
Mizoram,23.71039899,92.72001461,MZ,121359,114612,432,6315,0,0,0,0
Nagaland,25.6669979,94.11657019,NL,31842,29904,685,210,1043,0,0,0
Odisha,19.82042971,85.90001746,OR,1041457,1029147,8386,3924,0,0,0,0
Puducherry,11.93499371,79.83000037,PY,128013,125726,1857,430,0,0,0,0
Punjab,31.51997398,75.98000281,PB,602401,585591,16559,251,0,0,0,0
Rajasthan,26.44999921,74.63998124,RJ,954429,945443,8954,32,0,0,0,0
Sikkim,27.3333303,88.6166475,SK,31979,31063,396,195,325,0,0,0
Tamil Nadu,12.92038576,79.15004187,TN,2702623,2655015,36116,11492,0,0,0,0
Telangana,17.366,78.475,TG,671463,663498,3956,4009,0,0,0,0
Tripura,23.83540428,91.27999914,TR,84468,83466,813,126,63,0,0,0
Uttar Pradesh,27.59998069,78.05000565,UP,1710158,1687151,22900,107,0,0,0,0
Uttarakhand,30.32040895,78.05000565,UT,343896,330195,7400,151,6150,0,0,0
West Bengal,22.58039044,88.32994665,WB,1592908,1565471,19141,8296,0,0,0,0
